
Seminar,4119992,Python Learning,How to learning python,23,500,OPEN,UNSW Law library,2018-05-09 00:00:00,2018-05-17 00:00:00,"[<model.Session.Session object at 0x103a7f6a0>, <model.Session.Session object at 0x103aa0a90>]"
Seminar,4119992,hello,hack,24,200,OPEN,UNSW,2018-05-20 00:00:00,2018-05-22 00:00:00,"[<model.Session.Session object at 0x103a6f4e0>, <model.Session.Session object at 0x103a93748>]"
Seminar,4119992,Python Learning,f,2,200,OPEN,UNSW Law library,2018-05-08 00:00:00,2018-05-10 00:00:00,"[<model.Session.Session object at 0x1041edf28>, <model.Session.Session object at 0x1041dd898>]"
Seminar,4119992,Python Learning,How to learning python,23,200,OPEN,UNSW Law library,2018-05-08 00:00:00,2018-05-10 00:00:00,"[<model.Session.Session object at 0x103d2b080>, <model.Session.Session object at 0x103d2fe48>]"
Seminar,4119992,Python Learning,How to learning python,23,200,OPEN,UNSW Law library,2018-05-08 00:00:00,2018-05-10 00:00:00,"[<model.Session.Session object at 0x1031eabe0>, <model.Session.Session object at 0x1031eac50>]"
Seminar,4119992,Python Learning,How to learning python,20,100,OPEN,UNSW,2018-05-09 00:00:00,2018-05-18 00:00:00,"[<model.Session.Session object at 0x10d39bc18>, <model.Session.Session object at 0x10d376e48>]"
Seminar,4119992,Python Learning,How to learning python,24,200,OPEN,UNSW Law library,2018-05-08 00:00:00,2018-05-10 00:00:00,"[<model.Session.Session object at 0x104330470>, <model.Session.Session object at 0x104330748>]"
Seminar,4119992,Python Learning,How to learning python,24,12,OPEN,UNSW,2018-05-15 00:00:00,2018-05-17 00:00:00,"[<model.Session.Session object at 0x1039fecc0>, <model.Session.Session object at 0x1039fed68>]"
Seminar,4119992,Learning Java,fjskdlfs,22,100,OPEN,UNSW,2018-05-08 00:00:00,2018-05-09 00:00:00,"[<model.Session.Session object at 0x10ca332b0>, <model.Session.Session object at 0x1041d5eb8>]"
Seminar,4119992,Python Learning,How to learning python,22,100,OPEN,UNSW,2018-05-07 00:00:00,2018-05-08 00:00:00,"[<model.Session.Session object at 0x103214748>, <model.Session.Session object at 0x1031fecc0>]"
Seminar,4119992,Python Learning,How to learning python,23,100,OPEN,UNSW,2018-05-07 00:00:00,2018-05-09 00:00:00,"[<model.Session.Session object at 0x1031e6b70>, <model.Session.Session object at 0x1031f67f0>]"
Seminar,4119992,Python Learning,...,22,1,OPEN,UNSW,2018-05-07 00:00:00,2018-05-08 00:00:00,"[<model.Session.Session object at 0x103900c18>, <model.Session.Session object at 0x1038ff438>]"
Seminar,4119992,Python Learning,,,100,OPEN,,2018-05-07 00:00:00,2018-05-09 00:00:00,"[<model.Session.Session object at 0x1042a2b38>, <model.Session.Session object at 0x1042bd780>]"
